node_id,name
author_1,Ravid Shwartz-Ziv
author_2,Yann LeCun
author_3,Robin Burke
author_4,Morgan Sylvester
author_5,Xianzhi Li
author_6,Samuel Chan
author_7,Xiaodan Zhu
author_8,Yulong Pei
author_9,Zhiqiang Ma
author_10,Xiaomo Liu
author_11,Sameena Shah
author_12,Ethan Manilow
author_13,Patrick O'Reilly
author_14,Prem Seetharaman
author_15,Bryan Pardo
author_16,Wenqing Wang
author_17,Haosen Yang
author_18,Josef Kittler
author_19,Xiatian Zhu
author_20,Chaojian Li
author_21,Sixu Li
author_22,Yang Zhao
author_23,Wenbo Zhu
author_24,Yingyan Lin
author_25,Pascal Sikorski
author_26,Kaleb Yu
author_27,Lucy Billadeau
author_28,Flavio Esposito
author_29,Hadi AliAkbarpour
author_30,Madi Babaiasl
author_31,Chenxiao Liu
author_32,Shuai Lu
author_33,Weizhu Chen
author_34,Daxin Jiang
author_35,Alexey Svyatkovskiy
author_36,Shengyu Fu
author_37,Neel Sundaresan
author_38,Nan Duan
author_39,Da Shen
author_40,Xinyun Chen
author_41,Chenguang Wang
author_42,Koushik Sen
author_43,Dawn Song
author_44,Isaac Johnson
author_45,Emily Lescak
author_46,Jiaxin Deng
author_47,Dong Shen
author_48,Haojie Pan
author_49,Xiangyu Wu
author_50,Ximan Liu
author_51,Gaofeng Meng
author_52,Fan Yang
author_53,Size Li
author_54,Ruiji Fu
author_55,Zhongyuan Wang
author_56,Kui Ren
author_57,Ziqi Yang
author_58,Li Lu
author_59,Jian Liu
author_60,Yiming Li
author_61,Jie Wan
author_62,Xiaodi Zhao
author_63,Xianheng Feng
author_64,Shuo Shao
author_65,Youngjoong Kwon
author_66,Dahun Kim
author_67,Duygu Ceylan
author_68,Henry Fuchs
author_69,Tianshu Kuai
author_70,Akash Karthikeyan
author_71,Yash Kant
author_72,Ashkan Mirzaei
author_73,Igor Gilitschenski
author_74,Chen Bao
author_75,Helin Xu
author_76,Yuzhe Qin
author_77,Xiaolong Wang
author_78,Hassan Akbari
author_79,Dan Kondratyuk
author_80,Yin Cui
author_81,Rachel Hornung
author_82,Huisheng Wang
author_83,Hartwig Adam
author_84,Zhipeng Zhao
author_85,Kun Zhou
author_86,Xiaolei Wang
author_87,Wayne Xin Zhao
author_88,Fan Pan
author_89,Zhao Cao
author_90,Ji-Rong Wen
author_91,Aldo Gael Carranza
author_92,Rezsa Farahani
author_93,Natalia Ponomareva
author_94,Alex Kurakin
author_95,Matthew Jagielski
author_96,Milad Nasr
author_97,Kazuhiro Nakamura
author_98,Kei Hashimoto
author_99,Keiichiro Oura
author_100,Yoshihiko Nankaku
author_101,Keiichi Tokuda
author_102,Tyler LaBonte
author_103,Yale Song
author_104,Xin Wang
author_105,Vibhav Vineet
author_106,Neel Joshi
author_107,Masanori Hirano
author_108,Kentaro Imajo
author_109,Lingchen Sun
author_110,Rongyuan Wu
author_111,Zhiyuan Ma
author_112,Shuaizheng Liu
author_113,Qiaosi Yi
author_114,Lei Zhang
author_115,Xianhang Li
author_116,Zeyu Wang
author_117,Cihang Xie
author_118,Xinyu Liu
author_119,Houwen Peng
author_120,Ningxin Zheng
author_121,Yuqing Yang
author_122,Han Hu
author_123,Yixuan Yuan
author_124,Lei Tang
author_125,Jinghui Qin
author_126,Wenxuan Ye
author_127,Hao Tan
author_128,Zhijing Yang
author_129,Zhengyi Luo
author_130,Jinkun Cao
author_131,Alexander Winkler
author_132,Kris Kitani
author_133,Weipeng Xu
author_134,Suzanne Petryk
author_135,Spencer Whitehead
author_136,Joseph E. Gonzalez
author_137,Trevor Darrell
author_138,Anna Rohrbach
author_139,Marcus Rohrbach
